exist21 > (2655, 2):(886, 2)
misogyny_centrogeo > (5752, 2):(1439, 2)
misogyny_centrogeo, 0, 0.9069835948606078, 0.8935523953624156
exist21, 0, 0.7459561339455364, 0.7360858773065985
misogyny_centrogeo, 1, 0.9049507664036406, 0.8925693756292452
exist21, 1, 0.742474694678871, 0.7349937482249845
misogyny_centrogeo, 2, 0.9043369325476025, 0.8932203572617177
exist21, 2, 0.7435175443630405, 0.7380146895058269
misogyny_centrogeo, 3, 0.9036092832656921, 0.893596380340582
exist21, 3, 0.7537382700938393, 0.7379861236010166
misogyny_centrogeo, 4, 0.9071346266867069, 0.89391618356314
exist21, 4, 0.7493322050487338, 0.7365362687939064
misogyny_centrogeo, 5, 0.9022302965851352, 0.89387871892805
exist21, 5, 0.7490661359461115, 0.7380059564532792
misogyny_centrogeo, 6, 0.9028423861751856, 0.8943049651313825
exist21, 6, 0.7493322050487338, 0.7403070216185658
misogyny_centrogeo, 7, 0.9049507664036406, 0.8925693756292452
exist21, 7, 0.7424418604651164, 0.7383935756372679
misogyny_centrogeo, 8, 0.9035321211260829, 0.8943165639870463
exist21, 8, 0.7389980297262659, 0.7368677050458414
misogyny_centrogeo, 9, 0.9022684053246401, 0.8933395847127692
exist21, 9, 0.7435175443630405, 0.7380126817337317
misogyny_centrogeo, 10, 0.9084788380331166, 0.8933708669041411
exist21, 10, 0.7458136068456278, 0.7327572215273372
misogyny_centrogeo, 11, 0.9050267938059026, 0.8930231088203394
exist21, 11, 0.7458136068456278, 0.7410933760370202
misogyny_centrogeo, 12, 0.9070974641529146, 0.8932798282480615
misogyny_centrogeo, 13, 0.9035321211260829, 0.8932169391803008
exist21, 12, 0.7446659831780182, 0.7376457580458312
exist21, 13, 0.7493322050487338, 0.7391228673257606
misogyny_centrogeo, 14, 0.905754163176527, 0.8933858478316677
exist21, 14, 0.7447336885851966, 0.7395595892641383
misogyny_centrogeo, 15, 0.9029197019186781, 0.8926163672012588
misogyny_centrogeo, 16, 0.9084788380331166, 0.8937311083076553
exist21, 15, 0.7502178192055946, 0.7436972855662569
misogyny_centrogeo, 17, 0.9029197019186781, 0.8933464666531881
exist21, 16, 0.7446659831780182, 0.7380339323334157
misogyny_centrogeo, 18, 0.9070219491708086, 0.894088814719737
exist21, 17, 0.7548513452688943, 0.7420940231804533
misogyny_centrogeo, 19, 0.9056024369444087, 0.8932776735551047
exist21, 18, 0.7446659831780182, 0.7383963658999149
misogyny_centrogeo, 20, 0.9043369325476025, 0.8939257557216223
exist21, 19, 0.7447011423908609, 0.7368604701137395
misogyny_centrogeo, 21, 0.9049507664036406, 0.893431815545276
exist21, 20, 0.7491480635024282, 0.7448346760552279
misogyny_centrogeo, 22, 0.9042607455010954, 0.8937899612942999
exist21, 21, 0.750449572094031, 0.7403004100971415
misogyny_centrogeo, 23, 0.9055634970722202, 0.8934228278831714
misogyny_centrogeo, 24, 0.9028812508097622, 0.8936301862975231
exist21, 22, 0.7435175443630405, 0.7365120213292474
misogyny_centrogeo, 25, 0.9056024369444087, 0.8925314836488966
exist21, 23, 0.7504241257783075, 0.7391777947873737
misogyny_centrogeo, 26, 0.905754163176527, 0.8935321091176146
exist21, 24, 0.7458136068456278, 0.7387767896361485
misogyny_centrogeo, 27, 0.9043369325476025, 0.8946229013465514
exist21, 25, 0.7413290394468944, 0.7338264247208921
misogyny_centrogeo, 28, 0.9021917727254816, 0.8935537302296623
exist21, 26, 0.7413290394468944, 0.7331386768386003
misogyny_centrogeo, 29, 0.9043369325476025, 0.8932203572617177
misogyny_centrogeo, 30, 0.9056024369444087, 0.8928767954420701
exist21, 27, 0.7401083540790923, 0.7376573036758443
exist21, 28, 0.7479136125220249, 0.7421882332071548
misogyny_centrogeo, 31, 0.9071346266867069, 0.8942463701826657
exist21, 29, 0.7457773016814278, 0.738038134177694
misogyny_centrogeo, 32, 0.9056409725457714, 0.8939877333691412
