davincis22 > (2521, 2):(841, 2)
meoffendes21 > (3795, 2):(1265, 2)
meoffendes21, 0, 0.7394035623409669, 0.7571846563935086
davincis22, 0, 0.761428642703901, 0.7574821458982635
meoffendes21, 1, 0.7501992993439578, 0.754816840233185
davincis22, 1, 0.7650757636220598, 0.7614789394694457
meoffendes21, 2, 0.7556955810147299, 0.7310720031811859
meoffendes21, 3, 0.7510528594481836, 0.7309558743736151
davincis22, 2, 0.7696679219445395, 0.757124644475676
davincis22, 3, 0.761428642703901, 0.7567546715117437
meoffendes21, 4, 0.7526236881559221, 0.7582930035224693
meoffendes21, 5, 0.7561856040560053, 0.7286183092909402
davincis22, 4, 0.7626785775365706, 0.7571111780973494
meoffendes21, 6, 0.7508845672077377, 0.7590851403344023
davincis22, 5, 0.7696679219445395, 0.7567351468474275
meoffendes21, 7, 0.7453108357363676, 0.7612262966249905
davincis22, 6, 0.7624700445053064, 0.7596209512311244
meoffendes21, 8, 0.748639282264481, 0.7611948424705927
meoffendes21, 9, 0.754609977634762, 0.7320331736706704
davincis22, 7, 0.7649739360549339, 0.7594688136897016
meoffendes21, 10, 0.748143326499052, 0.7607152713333727
davincis22, 8, 0.7649739360549339, 0.7595042841824261
meoffendes21, 11, 0.748842637430752, 0.7611620046997221
davincis22, 9, 0.7649739360549339, 0.7591508128977358
meoffendes21, 12, 0.7491316640885731, 0.7592722990874738
meoffendes21, 13, 0.7494844517184942, 0.7292608845366144
davincis22, 10, 0.7673721611972304, 0.7578432254141896
meoffendes21, 14, 0.7447587778767804, 0.7578008947050943
davincis22, 11, 0.7602813914510815, 0.7583387528887531
meoffendes21, 15, 0.7563672178786749, 0.7340439706062433
meoffendes21, 16, 0.7483535713592578, 0.7609142139847695
davincis22, 12, 0.7650757636220598, 0.7595368923082189
meoffendes21, 17, 0.754609977634762, 0.7318207459952766
davincis22, 13, 0.761428642703901, 0.7571737542248471
meoffendes21, 18, 0.7502680687337244, 0.7277058955625757
davincis22, 14, 0.7624700445053064, 0.756768833967724
meoffendes21, 19, 0.7463615735216447, 0.758243162951693
davincis22, 15, 0.761323850501357, 0.7547882196339932
meoffendes21, 20, 0.757461362295736, 0.7310246587284943
davincis22, 16, 0.7624700445053064, 0.7567295579960487
meoffendes21, 21, 0.7440313808092407, 0.758469721202723
davincis22, 17, 0.7624700445053064, 0.7591847139789784
meoffendes21, 22, 0.7473647806094614, 0.7578809463104783
davincis22, 18, 0.7661213610440433, 0.7574563227939471
meoffendes21, 23, 0.7499869329726834, 0.7366373652551828
davincis22, 19, 0.7649739360549339, 0.758658100502584
meoffendes21, 24, 0.7484236745499241, 0.7335020514421984
meoffendes21, 25, 0.7484236745499241, 0.7595913114563294
davincis22, 20, 0.7637226057727001, 0.7568041014333683
meoffendes21, 26, 0.7478609625668449, 0.7596728259627239
davincis22, 21, 0.761428642703901, 0.7574821458982635
meoffendes21, 27, 0.7465873580380684, 0.7595014071225297
davincis22, 22, 0.7649739360549339, 0.7587356682158555
meoffendes21, 28, 0.7561856040560053, 0.7286183092909402
meoffendes21, 29, 0.7497621687907996, 0.7266990402993615
meoffendes21, 30, 0.7450764105831779, 0.7561645229417886
davincis22, 23, 0.761323850501357, 0.7555834930873176
davincis22, 24, 0.7637226057727001, 0.7545191399736767
meoffendes21, 31, 0.7511795688715235, 0.7593642894951432
davincis22, 25, 0.7649739360549339, 0.7595064538006822
meoffendes21, 32, 0.7453108357363676, 0.7570625151212642
davincis22, 26, 0.7685201163153863, 0.7599571714889762
meoffendes21, 33, 0.7501058275716099, 0.7573521883449172
davincis22, 27, 0.7636160774796292, 0.7602654722501925
meoffendes21, 34, 0.748143326499052, 0.7579715790167597
davincis22, 28, 0.7696679219445395, 0.7587560175537489
meoffendes21, 35, 0.7528385935912245, 0.7267968928133379
meoffendes21, 36, 0.7475765882142895, 0.7581144434013337
davincis22, 29, 0.7697703863395271, 0.7575219885204367
meoffendes21, 37, 0.7483535713592578, 0.7596414102219238
davincis22, 30, 0.7624700445053064, 0.7587928511152093
meoffendes21, 38, 0.7475765882142895, 0.7574405153819646
davincis22, 31, 0.7696679219445395, 0.7588104083673783
meoffendes21, 39, 0.7528385935912245, 0.7267968928133379
meoffendes21, 40, 0.7474140752864158, 0.7323335434547522
davincis22, 32, 0.7649739360549339, 0.7587356682158555
meoffendes21, 41, 0.7530390191842153, 0.7338945045578715
meoffendes21, 42, 0.7496205024797609, 0.7589922821246267
davincis22, 33, 0.7637226057727001, 0.7571202831650332
meoffendes21, 43, 0.7496205024797609, 0.7607099124201993
davincis22, 34, 0.7625757109126373, 0.7607006440185244
meoffendes21, 44, 0.7508845672077377, 0.7584688316577728
davincis22, 35, 0.761428642703901, 0.7575214219400339
meoffendes21, 45, 0.7514726703556491, 0.7566722349703319
davincis22, 36, 0.7624700445053064, 0.7599495275232662
meoffendes21, 46, 0.7512688864394569, 0.7360782721133642
meoffendes21, 47, 0.7504857755782034, 0.733834977151629
davincis22, 37, 0.7687206560226845, 0.7578805998000887
meoffendes21, 48, 0.7533330450582165, 0.73040640224983
meoffendes21, 49, 0.7510528594481836, 0.7306759703532719
meoffendes21, 50, 0.7549068898791641, 0.7283007099031428
davincis22, 38, 0.7649739360549339, 0.75795212523223
davincis22, 39, 0.7625757109126373, 0.7570752234930316
davincis22, 40, 0.7599611827834228, 0.7575791607610292
davincis22, 41, 0.7660159142564857, 0.757549410643257
davincis22, 42, 0.7599611827834228, 0.7579792099954876
davincis22, 43, 0.7602813914510815, 0.7580122616403144
davincis22, 44, 0.7648693369850508, 0.7583794145073248
davincis22, 45, 0.7650757636220598, 0.7615888910656949
davincis22, 46, 0.7636160774796292, 0.7591706546273211
davincis22, 47, 0.761323850501357, 0.75518857148345
davincis22, 48, 0.761323850501357, 0.7586634451180266
davincis22, 49, 0.7696679219445395, 0.7567351468474275
davincis22, 50, 0.7649739360549339, 0.7614157560549873
