haha21 > (18000, 2):(6000, 2)
haha21, 0, 0.8920277823685506, 0.8920440848029226
haha21, 1, 0.8922331153692948, 0.8921786265687596
haha21, 2, 0.8339409575611665, 0.8361930292269637
haha21, 3, 0.8355376307099613, 0.8364836941886619
haha21, 4, 0.8343999759127236, 0.8359914371317784
haha21, 5, 0.834594883354896, 0.8366025795513947
haha21, 6, 0.8913186052412503, 0.8922791483132946
haha21, 7, 0.8922331153692948, 0.891826608078486
haha21, 8, 0.8912618488885604, 0.8923530609440696
haha21, 9, 0.8345320596225987, 0.8362473404580373
haha21, 10, 0.835374045306054, 0.8363848974292829
haha21, 11, 0.8342364757348633, 0.8356042091676082
haha21, 12, 0.8354051420042585, 0.8360303892509956
haha21, 13, 0.8917294757287816, 0.8923345883112301
haha21, 14, 0.835015773369832, 0.8357220229150542
haha21, 15, 0.8352104809955293, 0.836078321879269
haha21, 16, 0.8354051420042585, 0.8359859712406699
haha21, 17, 0.8349845577975843, 0.836184112209061
haha21, 18, 0.8924010406432468, 0.892564088276267
haha21, 19, 0.8920277823685506, 0.8920611587089213
haha21, 20, 0.835015773369832, 0.8356870532378349
haha21, 21, 0.891841095064585, 0.8919937707210892
haha21, 22, 0.891635511876331, 0.8922346641936102
haha21, 23, 0.891429763572344, 0.8928685518646343
haha21, 24, 0.8918222849403379, 0.8926323988207276
haha21, 25, 0.8920277823685506, 0.8919379237276589
haha21, 26, 0.835015773369832, 0.8363661341892868
haha21, 27, 0.8352104809955293, 0.8357418177654997
haha21, 28, 0.8351793248945149, 0.8362662515108447
haha21, 29, 0.834594883354896, 0.8364825204973677
haha21, 30, 0.8920277823685506, 0.8919382555039516
haha21, 31, 0.8347897439671079, 0.8361212959996921
haha21, 32, 0.8914676039073554, 0.892419760677452
haha21, 33, 0.8911129228743729, 0.8921602631673388
haha21, 34, 0.8922331153692948, 0.8921169988983216
haha21, 35, 0.892550333785473, 0.892341318788602
haha21, 36, 0.8347897439671079, 0.8359847317817056
haha21, 37, 0.8342050215923313, 0.8361377259975805
haha21, 38, 0.8351168591338809, 0.8359031104181632
haha21, 39, 0.8931100947411497, 0.8922175043579783
haha21, 40, 0.8916731938049005, 0.8925580353825737
haha21, 41, 0.8351481176244462, 0.8359669581621534
haha21, 42, 0.8912807999675794, 0.892289538171196
haha21, 43, 0.8342364757348633, 0.8356042091676082
haha21, 44, 0.8347897439671079, 0.8359847317817056
haha21, 45, 0.8916543689252672, 0.8922958785859499
haha21, 46, 0.8346575014336102, 0.8362581836801933
haha21, 47, 0.8923823709322006, 0.8923973559778309
haha21, 48, 0.8931100947411497, 0.8922175043579783
haha21, 49, 0.8353116985949615, 0.8364366437933825
haha21, 50, 0.8349845577975843, 0.8365016854368509
