detoxis21_mockery > (2770, 2):(693, 2)
detoxis21_sarcasm > (2770, 2):(693, 2)
detoxis21_sarcasm, 0, 0.6175649628498077, 0.6366624203850899
detoxis21_mockery, 0, 0.4849136199276818, 0.48549756292219526
detoxis21_sarcasm, 1, 0.6194767441860465, 0.6371809462991049
detoxis21_mockery, 1, 0.4849136199276818, 0.4856645550183461
detoxis21_sarcasm, 2, 0.6175649628498077, 0.6391448718559415
detoxis21_mockery, 2, 0.4849136199276818, 0.48582933156461816
detoxis21_sarcasm, 3, 0.6082848837209303, 0.6386599700464499
detoxis21_mockery, 3, 0.4849136199276818, 0.48550186690210084
detoxis21_sarcasm, 4, 0.6082848837209303, 0.6386599700464499
detoxis21_mockery, 4, 0.4849136199276818, 0.48909863299569845
detoxis21_sarcasm, 5, 0.6082848837209303, 0.6386599700464499
detoxis21_mockery, 5, 0.4849136199276818, 0.48550186690210084
detoxis21_sarcasm, 6, 0.6101186350850014, 0.6386599700464499
detoxis21_mockery, 6, 0.4849136199276818, 0.48533487480595
detoxis21_sarcasm, 7, 0.6194767441860465, 0.6371809462991049
detoxis21_mockery, 7, 0.4849136199276818, 0.48582933156461816
detoxis21_sarcasm, 8, 0.6194767441860465, 0.6406134045000643
detoxis21_mockery, 8, 0.4849136199276818, 0.4819380900901101
detoxis21_sarcasm, 9, 0.6194767441860465, 0.6371809462991049
detoxis21_mockery, 9, 0.4849136199276818, 0.4856645550183461
detoxis21_sarcasm, 10, 0.6175649628498077, 0.6386599700464499
detoxis21_mockery, 10, 0.4849136199276818, 0.48582933156461816
detoxis21_sarcasm, 11, 0.6175649628498077, 0.6331401301484426
detoxis21_mockery, 11, 0.4849136199276818, 0.48582933156461816
detoxis21_sarcasm, 12, 0.6082848837209303, 0.6386599700464499
detoxis21_mockery, 12, 0.4849136199276818, 0.4819380900901101
detoxis21_sarcasm, 13, 0.6175649628498077, 0.6366960444896133
detoxis21_mockery, 13, 0.4849136199276818, 0.4856645550183461
detoxis21_sarcasm, 14, 0.6194767441860465, 0.6366960444896133
detoxis21_mockery, 14, 0.4849136199276818, 0.48193587454023135
detoxis21_sarcasm, 15, 0.6194767441860465, 0.6393008049950497
detoxis21_mockery, 15, 0.4849136199276818, 0.4856623394684673
detoxis21_sarcasm, 16, 0.6175649628498077, 0.6386599700464499
detoxis21_mockery, 16, 0.4849136199276818, 0.48193587454023135
detoxis21_sarcasm, 17, 0.6194767441860465, 0.6398414781668379
detoxis21_mockery, 17, 0.4849136199276818, 0.4856645550183461
detoxis21_sarcasm, 18, 0.6175649628498077, 0.6371473221945814
detoxis21_mockery, 18, 0.4849136199276818, 0.48582933156461816
detoxis21_sarcasm, 19, 0.6175649628498077, 0.6346984948282532
detoxis21_mockery, 19, 0.4849136199276818, 0.48582933156461816
detoxis21_sarcasm, 20, 0.6175649628498077, 0.6346086627925652
detoxis21_mockery, 20, 0.4849136199276818, 0.4856623394684673
detoxis21_sarcasm, 21, 0.6175649628498077, 0.6383618191709164
detoxis21_mockery, 21, 0.4849136199276818, 0.48549756292219526
detoxis21_sarcasm, 22, 0.6194767441860465, 0.6366960444896133
detoxis21_mockery, 22, 0.4849136199276818, 0.4819380900901101
detoxis21_sarcasm, 23, 0.6194767441860465, 0.6387963022278834
detoxis21_mockery, 23, 0.4849136199276818, 0.4856623394684673
detoxis21_sarcasm, 24, 0.6194767441860465, 0.6331401301484426
detoxis21_mockery, 24, 0.4849136199276818, 0.48939101994658196
detoxis21_sarcasm, 25, 0.6175649628498077, 0.6366960444896133
detoxis21_mockery, 25, 0.4849136199276818, 0.4821028666363822
detoxis21_sarcasm, 26, 0.6194767441860465, 0.6366960444896133
detoxis21_mockery, 26, 0.4849136199276818, 0.48550186690210084
detoxis21_sarcasm, 27, 0.6175649628498077, 0.635396573111256
detoxis21_mockery, 27, 0.4849136199276818, 0.4821028666363822
detoxis21_sarcasm, 28, 0.6082848837209303, 0.6386599700464499
detoxis21_mockery, 28, 0.4849136199276818, 0.48550186690210084
detoxis21_sarcasm, 29, 0.6082848837209303, 0.6391448718559415
detoxis21_mockery, 29, 0.4849136199276818, 0.4856623394684673
detoxis21_sarcasm, 30, 0.6175649628498077, 0.6366960444896133
detoxis21_mockery, 30, 0.4849136199276818, 0.4856623394684673
detoxis21_sarcasm, 31, 0.6082848837209303, 0.6391448718559415
detoxis21_mockery, 31, 0.4980901451489687, 0.48582933156461816
detoxis21_sarcasm, 32, 0.6194767441860465, 0.6366960444896133
detoxis21_mockery, 32, 0.4849136199276818, 0.4821028666363822
detoxis21_sarcasm, 33, 0.6082848837209303, 0.6386599700464499
detoxis21_mockery, 33, 0.4849136199276818, 0.48533487480595
detoxis21_sarcasm, 34, 0.6194767441860465, 0.6371809462991049
detoxis21_mockery, 34, 0.4849136199276818, 0.4856645550183461
detoxis21_sarcasm, 35, 0.6175649628498077, 0.6386599700464499
detoxis21_mockery, 35, 0.4849136199276818, 0.4856645550183461
detoxis21_sarcasm, 36, 0.6194767441860465, 0.6366960444896133
detoxis21_mockery, 36, 0.4849136199276818, 0.48533487480595
detoxis21_sarcasm, 37, 0.6082848837209303, 0.6386599700464499
detoxis21_mockery, 37, 0.4849136199276818, 0.4856645550183461
detoxis21_sarcasm, 38, 0.6082848837209303, 0.6386494789432277
detoxis21_mockery, 38, 0.4849136199276818, 0.4895557964928541
detoxis21_sarcasm, 39, 0.6175649628498077, 0.6386599700464499
detoxis21_mockery, 39, 0.4849136199276818, 0.48550186690210084
detoxis21_sarcasm, 40, 0.6194767441860465, 0.6387963022278834
detoxis21_mockery, 40, 0.4849136199276818, 0.4856645550183461
detoxis21_sarcasm, 41, 0.6194767441860465, 0.6331401301484426
detoxis21_mockery, 41, 0.4980901451489687, 0.48939101994658196
detoxis21_sarcasm, 42, 0.6194767441860465, 0.6366960444896133
detoxis21_mockery, 42, 0.4849136199276818, 0.48533487480595
detoxis21_sarcasm, 43, 0.6175649628498077, 0.6406134045000643
detoxis21_mockery, 43, 0.4849136199276818, 0.48582933156461816
detoxis21_sarcasm, 44, 0.6082848837209303, 0.6386599700464499
detoxis21_mockery, 44, 0.4849136199276818, 0.48533487480595
detoxis21_sarcasm, 45, 0.6194767441860465, 0.6366960444896133
detoxis21_mockery, 45, 0.4849136199276818, 0.4856645550183461
detoxis21_sarcasm, 46, 0.6194767441860465, 0.6366960444896133
detoxis21_mockery, 46, 0.4980901451489687, 0.48939101994658196
detoxis21_sarcasm, 47, 0.6175649628498077, 0.6346984948282532
detoxis21_mockery, 47, 0.4849136199276818, 0.4856623394684673
detoxis21_sarcasm, 48, 0.6194767441860465, 0.6371473221945814
detoxis21_mockery, 48, 0.4849136199276818, 0.48566885899825174
detoxis21_sarcasm, 49, 0.6082848837209303, 0.6386599700464499
detoxis21_sarcasm, 50, 0.6175649628498077, 0.6366960444896133
detoxis21_mockery, 49, 0.4849136199276818, 0.48550186690210084
detoxis21_mockery, 50, 0.4849136199276818, 0.48549756292219526
