misoginia > (2645, 5):(662, 5)
semeval2018_sadness > (1350, 6):(641, 6)
semeval2018_sadness, 0, 0.45045186266074216, 0.45419269044897315
semeval2018_sadness, 1, 0.4577544167233245, 0.44459580766645945
misoginia, 0, 0.7900258993462412, 0.7797513460664842
semeval2018_sadness, 2, 0.4498207776911565, 0.45664629059158524
semeval2018_sadness, 3, 0.45153441181855075, 0.46537866258538096
misoginia, 1, 0.7885119161714906, 0.7804817208629857
semeval2018_sadness, 4, 0.46939273133956705, 0.4707686019749726
semeval2018_sadness, 5, 0.45634584105747666, 0.4626808632233602
misoginia, 2, 0.7885119161714906, 0.7828086533082944
semeval2018_sadness, 6, 0.47841268613479665, 0.46330784068008624
semeval2018_sadness, 7, 0.46097646703680134, 0.4527197695490533
misoginia, 3, 0.7960720422231502, 0.7793258976908151
semeval2018_sadness, 8, 0.4610050563181942, 0.454134938425333
semeval2018_sadness, 9, 0.47152548452281356, 0.4601805347660758
semeval2018_sadness, 10, 0.4375622642875741, 0.45256183575980924
misoginia, 4, 0.7960720422231502, 0.7808711347361053
semeval2018_sadness, 11, 0.46254092605875663, 0.461123708328541
semeval2018_sadness, 12, 0.45295637616550444, 0.45416483689714815
semeval2018_sadness, 13, 0.45363386843956455, 0.46618236592532536
misoginia, 5, 0.7960720422231502, 0.7797454504020671
semeval2018_sadness, 14, 0.4586459332735192, 0.45937443323228966
semeval2018_sadness, 15, 0.4435017385249269, 0.46951564325071315
semeval2018_sadness, 16, 0.4526872716745728, 0.4441404511642186
misoginia, 6, 0.7990895295902882, 0.7781950772214341
semeval2018_sadness, 17, 0.46260657152646006, 0.47044558169712475
semeval2018_sadness, 18, 0.457018331119159, 0.4551120433273287
semeval2018_sadness, 19, 0.46406684489434924, 0.45085141253887573
misoginia, 7, 0.7854808675332262, 0.7801799606115355
semeval2018_sadness, 20, 0.44941769351931354, 0.46218234503576705
semeval2018_sadness, 21, 0.44891371030934935, 0.46058271115336324
semeval2018_sadness, 22, 0.45333607101271933, 0.45664495083035356
misoginia, 8, 0.797583081570997, 0.7823993009500565
semeval2018_sadness, 23, 0.4552222074396515, 0.45962653209012255
misoginia, 9, 0.7915388828039431, 0.7801638756578113
semeval2018_sadness, 24, 0.4555251282848528, 0.47566008917231495
semeval2018_sadness, 25, 0.4532891362481354, 0.4462409891922099
semeval2018_sadness, 26, 0.4527177282815188, 0.46196273299632
misoginia, 10, 0.7869969125026527, 0.7804962526545445
semeval2018_sadness, 27, 0.449912006762511, 0.45258656081162946
semeval2018_sadness, 28, 0.4500769492230593, 0.46095516381193935
semeval2018_sadness, 29, 0.44668315188857877, 0.4612567353633363
misoginia, 11, 0.7915331745118979, 0.7828118436067071
semeval2018_sadness, 30, 0.456293129831298, 0.45788609245694367
semeval2018_sadness, 31, 0.4593905181285223, 0.4655335610196273
misoginia, 12, 0.7945600584154802, 0.7823953535926197
semeval2018_sadness, 32, 0.4525758071309166, 0.45140061660682973
misoginia, 13, 0.7900297323630954, 0.7812550155915199
semeval2018_sadness, 33, 0.48393443218060217, 0.44563363843259224
semeval2018_sadness, 34, 0.4810398567095189, 0.45341902582734744
semeval2018_sadness, 35, 0.44607342791434457, 0.4602381249159565
misoginia, 14, 0.7930282180307853, 0.7827785813898803
semeval2018_sadness, 36, 0.4559056897263506, 0.4602693151980947
semeval2018_sadness, 37, 0.4626745809069145, 0.45537523722001405
misoginia, 15, 0.7930282180307853, 0.7835481365832896
semeval2018_sadness, 38, 0.4569211217574285, 0.47459647316049647
semeval2018_sadness, 39, 0.454725853244393, 0.4611250548698639
semeval2018_sadness, 40, 0.4552049046935943, 0.46779750318420243
misoginia, 16, 0.7915331745118979, 0.7820587268562085
semeval2018_sadness, 41, 0.4640321266181831, 0.4630916938784031
semeval2018_sadness, 42, 0.46864403002206884, 0.4568862867823654
misoginia, 17, 0.7945544328523051, 0.7801453033245914
semeval2018_sadness, 43, 0.4500073093461422, 0.46424291295319353
misoginia, 18, 0.7869969125026527, 0.7793400656448363
semeval2018_sadness, 44, 0.4599299893654732, 0.45737369751798057
semeval2018_sadness, 45, 0.46265391448174464, 0.4473480932534589
semeval2018_sadness, 46, 0.4536482521882551, 0.45756852660477154
misoginia, 19, 0.7869969125026527, 0.7831927271295105
semeval2018_sadness, 47, 0.4468228917013052, 0.45832345736264185
semeval2018_sadness, 48, 0.45140812430131444, 0.46960479295245394
semeval2018_sadness, 49, 0.4589870396303909, 0.4565931291379813
misoginia, 20, 0.7945450562290053, 0.7828101354444146
semeval2018_sadness, 50, 0.4382380991250596, 0.4602185938016077
misoginia, 21, 0.7915331745118979, 0.7793507367311114
misoginia, 22, 0.7915331745118979, 0.7808975653998137
misoginia, 23, 0.7915236599970791, 0.7827889695144823
misoginia, 24, 0.7885119161714906, 0.7813131266244241
misoginia, 25, 0.7884887489159706, 0.7824451299249114
misoginia, 26, 0.7960608736727526, 0.7805227032053035
misoginia, 27, 0.7900067321626216, 0.7805387307607887
misoginia, 28, 0.7960720422231502, 0.7804716385125767
misoginia, 29, 0.7869969125026527, 0.7793441306564102
misoginia, 30, 0.7915388828039431, 0.7801115486086736
misoginia, 31, 0.7900297323630954, 0.7827868395961898
misoginia, 32, 0.790018232892686, 0.7812773804297015
misoginia, 33, 0.7930508872931227, 0.7797230984629316
misoginia, 34, 0.7900297323630954, 0.7812557350639995
misoginia, 35, 0.7945600584154802, 0.7793379405242622
misoginia, 36, 0.7930471094275903, 0.7824220914557865
misoginia, 37, 0.7930471094275904, 0.7805215913549967
