,dataset,combina_1,train.shape,test.shape,f1,recall,combinations,combina_2,train.shape,mean,std,min,max,scores_kfold
0,exist21,0,"(2655, 2)","(886, 2)",0.7459561339455364,0.7134099616858237,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",0,"(2655, 2)",0.7360858773065985,0.01900641152374985,0.7134539464341503,0.7626908234492934,"[0.7626908234492934, 0.7325790892325152, 0.7189148669340657, 0.7527906604829682, 0.7134539464341503]"
1,exist21,1,"(2655, 2)","(886, 2)",0.742474694678871,0.7114303959131545,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'haha18']",1,"(2655, 2)",0.7349937482249845,0.017877437934776946,0.7114550665752715,0.7569759562337466,"[0.7569759562337466, 0.7269148238131551, 0.724827498083312, 0.7547953964194374, 0.7114550665752715]"
2,exist21,2,"(2655, 2)","(886, 2)",0.7435175443630405,0.722669220945083,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'misogyny_centrogeo']",2,"(2655, 2)",0.7380146895058269,0.015003328270295022,0.7226878217403199,0.760662254005998,"[0.760662254005998, 0.7268954509177973, 0.7288049029622063, 0.7510230179028132, 0.7226878217403199]"
3,exist21,3,"(2655, 2)","(886, 2)",0.7537382700938393,0.7152618135376756,"['detoxis21_aggressiveness', 'haha21', 'metwo22']",3,"(2655, 2)",0.7379861236010166,0.017467668721871273,0.7153037420509378,0.7645650438946529,"[0.7645650438946529, 0.7306967984934086, 0.7285969844109379, 0.7507680491551458, 0.7153037420509378]"
4,exist21,4,"(2655, 2)","(886, 2)",0.7493322050487338,0.7173052362707535,"['davincis22', 'detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",4,"(2655, 2)",0.7365362687939064,0.017016416038184615,0.7173447081535317,0.7608252322162599,"[0.7608252322162599, 0.7269264462311629, 0.7248821826027709, 0.752702774765807, 0.7173447081535317]"
5,exist21,5,"(2655, 2)","(886, 2)",0.7490661359461115,0.7227969348659005,"['davincis22', 'detoxis21_aggressiveness', 'haha21', 'meoffendes21']",5,"(2655, 2)",0.7380059564532792,0.018211263362997346,0.7212796141296638,0.7664112388250319,"[0.7664112388250319, 0.7212796141296638, 0.7267907897678281, 0.752702774765807, 0.7228453647780653]"
6,exist21,6,"(2655, 2)","(886, 2)",0.7493322050487338,0.7172413793103448,"['davincis22', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",6,"(2655, 2)",0.7403070216185658,0.01523860762147569,0.7172885254280603,0.7608150525811771,"[0.7608150525811771, 0.736338100102145, 0.7342219697910936, 0.752871460190353, 0.7172885254280603]"
7,exist21,7,"(2655, 2)","(886, 2)",0.7424418604651164,0.7189016602809706,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",7,"(2655, 2)",0.7383935756372679,0.012680560709551437,0.7189148669340657,0.7549833887043189,"[0.7549833887043189, 0.7344595097834067, 0.7343690684415368, 0.7492410443230115, 0.7189148669340657]"
8,exist21,8,"(2655, 2)","(886, 2)",0.7389980297262659,0.7056194125159643,"['davincis22', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",8,"(2655, 2)",0.7368677050458414,0.019127837704459482,0.7055620325873688,0.758800817624347,"[0.758800817624347, 0.7344482079838266, 0.7306624102154828, 0.7548650568181818, 0.7055620325873688]"
9,exist21,9,"(2655, 2)","(886, 2)",0.7435175443630405,0.7246487867177522,"['davincis22', 'meoffendes21']",9,"(2655, 2)",0.7380126817337317,0.014656291227458356,0.7246946022727274,0.7570069919154869,"[0.7570069919154869, 0.7250461058306142, 0.7285969844109379, 0.7547187242388924, 0.7246946022727274]"
10,exist21,10,"(2655, 2)","(886, 2)",0.7458136068456278,0.7039591315453384,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress']",10,"(2655, 2)",0.7327572215273372,0.01947658673277897,0.7039913079602467,0.7589034876131558,"[0.7589034876131558, 0.7288049029622063, 0.7228453647780654, 0.7492410443230115, 0.7039913079602467]"
